latitude,longitude,elevation,year,month,day,hour,minute,second,horizon,
-23.017511420425212,-43.061317704063704,414.50561034179,2019, 5, 13, 21, 34, 59.99999552965164,0,
-20.11204589911439,-40.53226266411637,413.5093914721623,2019, 5, 13, 21, 35, 59.999991953372955,0,
-17.16292703423202,-38.104034848745236,412.5686995319532,2019, 5, 13, 21, 36, 59.99998837709427,0,
-14.178038138364624,-35.75901846215353,411.69567654218247,2019, 5, 13, 21, 37, 59.99998480081558,0,
-11.164555849270137,-33.480777607095824,410.9011466598281,2019, 5, 13, 21, 38, 59.999981224536896,0,
-8.129102645406359,-31.253854359504366,410.19443472389696,2019, 5, 13, 21, 40, 1.7881393432617188e-05,0,
-5.077892895746548,-29.06356442334055,409.58321503104753,2019, 5, 13, 21, 41, 1.430511474609375e-05,0,
-2.0168453765834777,-26.895774984675597,409.07338650836215,2019, 5, 13, 21, 42, 1.0728836059570312e-05,0,
1.0482933757707575,-24.73669775200575,408.6689862968889,2019, 5, 13, 21, 43, 7.152557373046875e-06,0,
4.111841738970416,-22.572675491669468,408.3721362871068,2019, 5, 13, 21, 44, 3.5762786865234375e-06,0,
7.16807589485364,-20.389970500618734,408.1830266463213,2019, 5, 13, 21, 45, 0.0,0,
10.211121356857106,-18.17455244930892,408.0999361220374,2019, 5, 13, 21, 45, 59.99999642372131,0,
13.234839507252953,-15.911884793788687,408.11928861803256,2019, 5, 13, 21, 46, 59.99999284744263,0,
16.23270547395551,-13.58671001251,408.2357447611383,2019, 5, 13, 21, 47, 59.99998927116394,0,
19.197673649958418,-11.182835985307603,408.4423264349291,2019, 5, 13, 21, 48, 59.999985694885254,0,
22.12202722787022,-8.682929279036447,408.73057157140016,2019, 5, 13, 21, 49, 59.99998211860657,0,
24.99721033759365,-6.068324723674068,409.0907161463522,2019, 5, 13, 21, 51, 1.8775463104248047e-05,0,
27.813628742130376,-3.31888132927303,409.51189800023,2019, 5, 13, 21, 52, 1.519918441772461e-05,0,
30.560447006340098,-0.41288925618011624,409.98238198698874,2019, 5, 13, 21, 53, 1.1622905731201172e-05,0,
33.22534562568415,2.672887963947071,410.489797028803,2019, 5, 13, 21, 54, 8.046627044677734e-06,0,
35.794274405526146,5.962993947728593,411.02138384872865,2019, 5, 13, 21, 55, 4.470348358154297e-06,0,
38.25120610818845,9.482771029616522,411.56424717229106,2019, 5, 13, 21, 56, 8.940696716308594e-07,0,
40.57792068570858,13.257440355234417,412.105607785832,2019, 5, 13, 21, 56, 59.999997317790985,0,
42.75386625399388,17.310622107407443,412.63304973316633,2019, 5, 13, 21, 57, 59.9999937415123,0,
44.756165222270496,21.662155275680174,413.13475812963986,2019, 5, 13, 21, 58, 59.99999016523361,0,
