lat,lon,dist,
-2.0182718087479374,-151.13644654377532,409191.6972223005,
-2.015106225350021,-151.3794013773246,409189.68192672054,
-2.011940575057041,-151.6223559991971,409187.6660665897,
-2.008774855789337,-151.8653105722363,409185.64964059705,
-2.0056090675929106,-152.10826509637815,409183.63264878164,
-2.0024431983924105,-152.35121958119942,409181.61626131233,
-1.9992772724844865,-152.59417400733014,409179.5981379861,
-1.9961112777869123,-152.8371283843295,409177.57944898005,
-1.992945214341056,-153.08008271215334,409175.5601943105,
-1.9897790822010433,-153.3230369907044,409173.54037405323,
-1.9866128814034207,-153.56599121991127,409171.51998824003,
-1.9834465999333164,-153.80894540950925,409169.50020694756,
-1.9802802598537972,-154.05189970276336,409167.4786887731,
-1.9771138533852348,-154.29485378355417,409165.4566065167,
-1.9739473784442065,-154.53780781471664,409163.4339588727,
-1.970780835083811,-154.78076179618296,409161.4107458857,
-1.9676142233417346,-155.0237157278794,409159.3869675975,
-1.9644475312561867,-155.26666945154858,409157.363794047,
-1.961280782908692,-155.50962328351818,409155.33888526534,
-1.9581139663222127,-155.7525770654966,409153.31341131264,
-1.954947081543918,-155.9955307974173,409151.28737223306,
-1.9517801286185854,-156.23848447920176,409149.2607680738,
-1.9486131075911308,-156.48143811079126,409147.23359885433,
-1.945446006545734,-156.72439170214716,409145.2070345762,
-1.9422788473398036,-156.96734539605416,409143.1787340375,
-1.9391116222944011,-157.2102988766183,409141.1498699482,
-1.9359443293343348,-157.45325230670346,409139.1204409803,
-1.9327769685031597,-157.6962056862215,409137.0904471897,
-1.929609539845726,-157.93915901510576,409135.0598886095,
-1.926442031495941,-158.1821123034557,409133.029935163,
-1.923274467336716,-158.42506553087833,409130.9982471337,
-1.9201068354903543,-158.66801870745041,409128.9659944497,
-1.9169391360028192,-158.91097183309603,409126.9331771587,
-1.9137713689213283,-159.15392490775065,409124.89979529585,
-1.9106035342953984,-159.39687776324564,409122.86584890983,
-1.9074356181729752,-159.6398309088923,409120.8325064948,
-1.9042676485959413,-159.8827838301592,409118.7974311716,
-1.9010996116064862,-160.12573670013649,409116.76179145835,
-1.8979315072541172,-160.3686895187538,409114.7255874076,
-1.8947633355825753,-160.61164228595356,409112.68881903525,
-1.8915950966401045,-160.85459500164086,409110.65148641117,
-1.8884267786553735,-161.09754767619347,409108.61475929327,
-1.8852584053160326,-161.34050028870166,409106.57629825565,
-1.882089964841354,-161.58345284947825,409104.5372730967,
-1.8789214572798345,-161.82640535848083,409102.4976838316,
-1.8757528826785457,-162.0693578156218,409100.4575305251,
-1.8725842389548126,-162.3123103837408,409098.41681185004,
-1.8694155186441639,-162.55526274748564,409096.37670027,
-1.8662467432016951,-162.79821504863827,409094.33485507854,
-1.8630779009034097,-163.04116729763723,409092.2924460222,
-1.8599089917917921,-163.28411932631832,409090.24947313365,
-1.8567400159187508,-163.5270714708093,409088.20593645854,
-1.8535709733266605,-163.77002356293315,409086.1618360529,
-1.850401852344591,-164.01297561328124,409084.11834157497,
-1.847232676461753,-164.2559276004821,409082.0731138055,
-1.8440634339942972,-164.4988795351025,409080.02732243337,
-1.8408941249965705,-164.74183141707056,409077.9809674912,
-1.8377247473856488,-164.9847834092207,409075.93404766754,
-1.8345553054569066,-165.22773518565413,409073.88656574505,
-1.8313857854697881,-165.47068692001756,409071.8396899377,
-1.8282162108057454,-165.7136385906669,409069.7910811799,
-1.825046569835441,-165.95659020830374,409067.7419090754,
-1.821876862608426,-166.19954177285894,409065.69217366853,
-1.8187070891718145,-166.4424932842491,409063.64187501743,
-1.8155372379495345,-166.68544475330128,409061.5921826564,
-1.812367332235141,-166.92839615817843,409059.5407576174,
-1.8091973604492544,-167.17134750968586,409057.48876943963,
-1.806027322636582,-167.41429863965305,409055.43621818867,
-1.8028572188442398,-167.65724988417787,409053.38310392364,
-1.7996870469917852,-167.90020123804214,409051.3294252655,
-1.796516799807025,-168.1431523863443,409049.2763544927,
-1.793346498357697,-168.38610346991783,409047.221551356,
-1.7901761311138824,-168.62905449967718,409045.1661853776,
-1.7870056981228768,-168.87200547555733,409043.11025657644,
-1.7838351994234507,-169.1149563974763,409041.0537650204,
-1.7806646350700155,-169.35790726538107,409038.99671072816,
-1.7774939935869323,-169.60085809033512,409036.94026312936,
-1.7743232980654928,-169.84380884999098,409034.88208351535,
-1.7711525370267929,-170.08675955540724,409032.82334131113,
-1.7679817105132247,-170.3297102065003,409030.7640365706,
-1.7648108164488105,-170.57266096612523,409028.7041679386,
-1.7616398591331193,-170.81561150838735,409026.643738226,
-1.758468825014609,-171.05856200738475,409024.5839154119,
